ID,Region/Country/Area,Year,Series,Value,Footnotes
1,"Total, all countries or areas",2005,Population annual rate of increase (percent),1.3,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,Total fertility rate (children per women),2.6,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,"Infant mortality for both sexes (per 1,000 live births)",49.1,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,"Maternal mortality ratio (deaths per 100,000 population)",288,
1,"Total, all countries or areas",2005,Life expectancy at birth for both sexes (years),67.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,Life expectancy at birth for males (years),65,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2005,Life expectancy at birth for females (years),69.5,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Population annual rate of increase (percent),1.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Total fertility rate (children per women),2.6,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,"Infant mortality for both sexes (per 1,000 live births)",41.3,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,"Maternal mortality ratio (deaths per 100,000 population)",246,
1,"Total, all countries or areas",2010,Life expectancy at birth for both sexes (years),69.1,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Life expectancy at birth for males (years),66.9,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2010,Life expectancy at birth for females (years),71.3,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Population annual rate of increase (percent),1.2,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Total fertility rate (children per women),2.5,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,"Infant mortality for both sexes (per 1,000 live births)",35,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,"Maternal mortality ratio (deaths per 100,000 population)",216,
1,"Total, all countries or areas",2015,Life expectancy at birth for both sexes (years),70.8,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Life expectancy at birth for males (years),68.6,Data refers to a 5-year period preceding the reference year.
1,"Total, all countries or areas",2015,Life expectancy at birth for females (years),73.1,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Population annual rate of increase (percent),2.5,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Total fertility rate (children per women),5.1,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",80.7,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Life expectancy at birth for both sexes (years),53.7,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Life expectancy at birth for males (years),52.2,Data refers to a 5-year period preceding the reference year.
2,Africa,2005,Life expectancy at birth for females (years),55.2,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Population annual rate of increase (percent),2.5,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Total fertility rate (children per women),4.9,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",68.1,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Life expectancy at birth for both sexes (years),57,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Life expectancy at birth for males (years),55.5,Data refers to a 5-year period preceding the reference year.
2,Africa,2010,Life expectancy at birth for females (years),58.4,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Population annual rate of increase (percent),2.6,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Total fertility rate (children per women),4.7,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",57.2,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Life expectancy at birth for both sexes (years),60.2,Data refers to a 5-year period preceding the reference year.
2,Africa,2015,Life expectancy at birth for males (years),58.6,Data refers to a 5-year period preceding the reference year.
